City,Location,Coordinates,2,3
"NORTH HAVEN, CT","North Haven, CT 06473, USA","(41.39091390000001, -72.8595447)",,
"ERIE, PA","Erie, PA, USA","(42.12922409999999, -80.085059)",,
"WESTOVER, MD","Westover, MD 21871, USA","(38.1216606, -75.7071723)",,
"AUGUSTA, ME","Augusta, ME 04330, USA","(44.3106241, -69.7794897)",,
"TUSCLAOOSA, AL","Tuscaloosa, AL, USA","(33.2098407, -87.56917349999999)",,
"WEST COXSACKIE, NY","Coxsackie, NY, USA","(42.3509179, -73.8029028)",,
"RIVERVIEW, FL","Riverview, FL, USA","(27.8661364, -82.32648089999999)",,
"VAUDREUIL DORION, QC","Vaudreuil-Dorion, QC, Canada","(45.404236, -74.03795989999999)",,
"CHESTER, SC","Chester, SC 29706, USA","(34.7048613, -81.2142561)",,
"SOUTH GATE, CA","South Gate, CA, USA","(33.954737, -118.2120161)",,
"BORDEN-CARLETON, QC","Borden-Carleton, PE, Canada","(46.25376259999999, -63.69216220000001)",,
"GRANBY, QC","Granby, QC, Canada","(45.40322889999999, -72.7340662)",,
"CONCORD, NC","Concord, NC, USA","(35.4087517, -80.579511)",,
"WATERBURY, CT","Waterbury, CT, USA","(41.5581525, -73.0514965)",,
"WAGRAM, NC","Wagram, NC 28396, USA","(34.8879396, -79.3661515)",,
"BAYTOWN, TX","Baytown, TX, USA","(29.7355047, -94.97742740000001)",,
"ROCKWALL, TX","Rockwall, TX, USA","(32.93123360000001, -96.4597089)",,
"DENISON, IA","Denison, IA 51442, USA","(42.024988, -95.3588867)",,
"CARROLLTON, GA","Carrollton, GA, USA","(33.5801103, -85.0766113)",,
"DANDALK, MD","Dundalk, MD, USA","(39.2506633, -76.5205184)",,
"BRIDGEPORT, CT","Bridgeport, CT, USA","(41.1792258, -73.1894384)",,
"UPPER MARLBORO, MD","Upper Marlboro, MD 20772, USA","(38.8159473, -76.74969089999999)",,
"BERWICK, PA","Berwick, PA, USA","(41.0545292, -76.23326759999999)",,
"ZEELAND, MI","Zeeland, MI 49464, USA","(42.8125246, -86.01865099999999)",,
"CONCORD, ON","Concord, Vaughan, ON L4K, Canada","(43.798329, -79.5079073)",,
"COVINGTON, KY","Covington, KY, USA","(39.0836712, -84.5085536)",,
"SPRUCE PINE, NC","Spruce Pine, NC 28777, USA","(35.9154007, -82.06456109999999)",,
"DEL CITY, OK","Del City, OK, USA","(35.4420062, -97.4408698)",,
"COMPTON, CA","Compton, CA, USA","(33.8958492, -118.2200712)",,
"WAKE FOREST, NC","Wake Forest, NC 27587, USA","(35.9798734, -78.50972279999999)",,
"VERNON, CA","Vernon, CA, USA","(34.003903, -118.230073)",,
"MONTREAL-EST, QC","Montreal East, QC, Canada","(45.6320003, -73.5066981)",,
"SEARCY, AR","Searcy, AR, USA","(35.2468204, -91.73368459999999)",,
"PAINTER, VA","Painter, VA 23420, USA","(37.585411, -75.7849299)",,
"NEW HAVEN, IN","New Haven, IN, USA","(41.0706042, -85.0144124)",,
"SCOTIA, NY","Scotia, NY 12302, USA","(42.8264652, -73.9642915)",,
"PULLMAN, WA","Pullman, WA 99163, USA","(46.7297771, -117.1817377)",,
"SAINT-JEAN-SUR-RICHELIEU, QC","Saint-Jean-sur-Richelieu, QC, Canada","(45.305771, -73.2544903)",,
"WINDOM, MN","Windom, MN 56101, USA","(43.8727352, -95.11138079999999)",,
"MELVINDALE, MI","Melvindale, MI 48122, USA","(42.2825383, -83.175203)",,
"HARRISONVILLE, MO","Harrisonville, MO 64701, USA","(38.6533445, -94.3488372)",,
"WASHINGTON, DC","Washington, DC, USA","(38.9071923, -77.0368707)",,
"MCCLELLAN PARK, CA","McClellan Park, CA, USA","(38.6733377, -121.390048)",,
"SUMNER, WA","Sumner, WA, USA","(47.2031566, -122.2403966)",,
"CARUTHERS, CA","Caruthers, CA 93609, USA","(36.5427271, -119.8331965)",,
"TLACOTE EL BAJO, QA","Tlacote el Bajo, Qro., Mexico","(20.6626237, -100.5054541)",,
"HAZELWOOD, PA","Hazelwood, Pittsburgh, PA, USA","(40.4117223, -79.94445259999999)",,
"TIGARD, OR","Tigard, OR, USA","(45.4186785, -122.7872475)",,
"DEER RIVER, MN","Deer River, MN 56636, USA","(47.3328773, -93.793048)",,
"ELGIN, IL","Elgin, IL, USA","(42.0354084, -88.2825668)",,
"MONCTON, NB","Moncton, NB, Canada","(46.0878165, -64.7782313)",,
"CLEMSON, SC","Clemson, SC, USA","(34.6834382, -82.8373654)",,
"ARVIN, CA","Arvin, CA 93203, USA","(35.2017986, -118.833105)",,
"DAVENPORT, WA","Davenport, WA 99122, USA","(47.6540456, -118.149973)",,
"REVELSTOKE, BC","Revelstoke, BC, Canada","(50.998115, -118.195672)",,
"CRESTON, BC","Creston, BC V0B, Canada","(49.0955401, -116.5135079)",,
"WHITNEY, WA","Whitney, WA 98273, USA","(48.4478827, -122.4715535)",,
"AUBURN, WA","Auburn, WA, USA","(47.30732279999999, -122.2284532)",,
"BELL, CA","Bell, CA, USA","(33.9775142, -118.1870156)",,
"EAGLE PASS, TX","Eagle Pass, TX 78852, USA","(28.7091433, -100.4995214)",,
"MINOOKA, IL","Minooka, IL, USA","(41.4553084, -88.2617305)",,
"CENTENNIAL PARK, UT","Centennial Park, 5405 W 3100 S, West Valley City, UT 84119, USA","(40.7013743, -112.0200643)",,
"CROSSETT, AR","Crossett, AR 71635, USA","(33.1281779, -91.9612427)",,
"KERMAN, CA","Kerman, CA 93630, USA","(36.72355719999999, -120.059879)",,
"ALBUQUERQUE, NM","Albuquerque, NM, USA","(35.0843859, -106.650422)",,
"OSWEGO, IL","Oswego, IL, USA","(41.6828074, -88.35145960000001)",,
"OCEANSIDE, CA","Oceanside, CA, USA","(33.1958696, -117.3794834)",,
"ROSEMOUNT, MN","Rosemount, MN 55068, USA","(44.7394103, -93.12577230000001)",,
"BOGALUSA, LA","Bogalusa, LA 70427, USA","(30.7910204, -89.8486858)",,
"PORT HURON, MI","Port Huron, MI, USA","(42.9708634, -82.42491419999999)",,
"CAMARILLO, CA","Camarillo, CA, USA","(34.2163937, -119.0376023)",,
"CEDAR CITY, UT","Cedar City, UT, USA","(37.67747689999999, -113.0618931)",,
"O FALLON, MO","O'Fallon, MO, USA","(38.8106075, -90.69984769999999)",,
"WAKE VILLAGE, TX","Wake Village, TX 75501, USA","(33.4267911, -94.10630139999999)",,
"LEWISTOWN, OH","Lewistown, OH 43333, USA","(40.4220938, -83.8850811)",,
"MENOMONEE FALLS, WI","Menomonee Falls, WI 53051, USA","(43.1788967, -88.1173132)",,
"EXETER, CA","Exeter, CA 93221, USA","(36.2960613, -119.1420517)",,
"THONOTOSASSA, FL","Thonotosassa, FL, USA","(28.0614065, -82.3023128)",,
"GORDONSVILLE, TN","Gordonsville, TN 38563, USA","(36.1726305, -85.9296488)",,
"BENSENVILLE, IL","Bensenville, IL, USA","(41.9550296, -87.94006569999999)",,
"HUNTINGBURG, IN","Huntingburg, IN 47542, USA","(38.2989422, -86.9549971)",,
"PHILMONT, NY","Philmont, NY, USA","(42.248421, -73.653176)",,
"BENSON, MN","Benson, MN 56215, USA","(45.3149603, -95.6000349)",,
"DFW AIRPORT, TX","DFW International Airport (DFW), 2400 Aviation Dr, DFW Airport, TX 75261, USA","(32.8998091, -97.0403352)",,
"KENTON, TN","Kenton, TN 38233, USA","(36.2022892, -89.01228789999999)",,
"WOOSTER, OH","Wooster, OH 44691, USA","(40.8050565, -81.935143)",,
"CAPITAL HEIGHTS, MD","Capitol Heights, MD 20743, USA","(38.8851122, -76.9158068)",,
"FISHERS, IN","Fishers, IN, USA","(39.9567548, -86.01335)",,
"STURTEVANT, WI","Sturtevant, WI, USA","(42.69807489999999, -87.8945229)",,
"ITASCA, IL","Itasca, IL, USA","(41.9750287, -88.0072909)",,
"MUSKOGEE, OK","Muskogee, OK, USA","(35.7478769, -95.3696909)",,
"MOORESTOWN, NJ","Moorestown, NJ 08057, USA","(39.9688817, -74.948886)",,
"BLOOMINGDALE, IL","Bloomingdale, IL, USA","(41.9575285, -88.0809036)",,
"LAKE FOREST, IL","Lake Forest, IL, USA","(42.2586342, -87.840625)",,
"BENTON, AR","Benton, AR, USA","(34.5645371, -92.586828)",,
"COLUMBIA, MO","Columbia, MO, USA","(38.9517053, -92.3340724)",,
"SPRINGHILL, LA","Springhill, LA 71075, USA","(33.0059692, -93.4668396)",,
"LINCOLN, IL","Lincoln, IL 62656, USA","(40.1483768, -89.3648183)",,
"LONSDALE, MN","Lonsdale, MN 55046, USA","(44.48024119999999, -93.4285587)",,
"CARTHAGE, TN","Carthage, TN 37030, USA","(36.2522766, -85.951654)",,
"MENDON, MI","Mendon, MI 49072, USA","(42.0064378, -85.44998869999999)",,
"ROULETTE, PA","Roulette, PA 16746, USA","(41.7800651, -78.1538977)",,
"WHEELING, IL","Wheeling, IL, USA","(42.1391927, -87.9289591)",,
"BEDFORD, VA","Bedford, VA 24523, USA","(37.3343079, -79.52308769999999)",,
"RIPLEY, MS","Ripley, MS 38663, USA","(34.7298181, -88.9506181)",,
"HANCOCK, NH","Hancock, NH, USA","(42.9782657, -71.97569899999999)",,
"GREENCASTLE, PA","Greencastle, PA 17225, USA","(39.790371, -77.7277714)",,
"SOLON, OH","Solon, OH 44139, USA","(41.3897764, -81.44122589999999)",,
"WARWICK, RI","Warwick, RI, USA","(41.7001009, -71.4161671)",,
"SUNRISE, FL","Sunrise, FL, USA","(26.1669711, -80.25659499999999)",,
"TUKWILA, WA","Tukwila, WA, USA","(47.4739884, -122.2609558)",,
"ST THOMAS, ON","St Thomas, ON, Canada","(42.7777214, -81.18265269999999)",,
"TOPEKA, KS","Topeka, KS, USA","(39.0473451, -95.67515759999999)",,
"MOCKSVILLE, NC","Mocksville, NC 27028, USA","(35.8940263, -80.5614494)",,
"ENID, OK","Enid, OK, USA","(36.3955891, -97.8783911)",,
"LLOYDMINSTER, AB","Lloydminster, AB, Canada","(53.2779625, -110.0061451)",,
"BURBANK, SD","Burbank, SD 57010, USA","(42.7463806, -96.8294732)",,
"LODI, CA","Lodi, CA, USA","(38.1341477, -121.2722194)",,
"PLYMOUTH, NH","Plymouth, NH 03264, USA","(43.7570196, -71.6881528)",,
"LAS VEGAS, NV","Las Vegas, NV, USA","(36.1699412, -115.1398296)",,
"MENLO, IA","Menlo, IA 50164, USA","(41.5191542, -94.4044105)",,
"SNOHOMISH, WA","Snohomish, WA, USA","(47.91287560000001, -122.0981847)",,
"HUTCHINSON, MN","Hutchinson, MN 55350, USA","(44.89254830000001, -94.3692926)",,
"EL CARMEN, NL","El Carmen, Nuevo Leon, Mexico","(25.9375976, -100.3638252)",,
"LUVERNE, MN","Luverne, MN 56156, USA","(43.6555249, -96.2025289)",,
"OSHTEMO, MI","Oshtemo Township, MI, USA","(42.293951, -85.7051116)",,
"BUTTE, MT","Butte, MT, USA","(46.0038232, -112.5347775)",,
"WOLCOTT, IN","Wolcott, IN 47995, USA","(40.7580949, -87.0416838)",,
"HUNTINGTON PARK, CA","Huntington Park, CA, USA","(33.9816812, -118.2250725)",,
"LANSING, MI","Lansing, MI, USA","(42.732535, -84.5555347)",,
"WILMINGTON, OH","Wilmington, OH 45177, USA","(39.4453393, -83.8285375)",,
"CUCAMONGA, CA","Rancho Cucamonga, CA, USA","(34.10639889999999, -117.5931084)",,
"SAN JUAN DEL RIO QA, EM","San Juan del Río, Qro., Mexico","(20.3951106, -99.9856344)",,
"FOWLER, CA","Fowler, CA 93625, USA","(36.6305058, -119.6784697)",,
"HUTCHINS, TX","Hutchins, TX, USA","(32.6492999, -96.7130521)",,
"VIRGINIA BEACH, VA","Virginia Beach, VA, USA","(36.8529263, -75.97798499999999)",,
"MORELIA, MH","Gob. Silvestre Guerrero 95, Cinco de Diciembre, 58280 Morelia, Mich., Mexico","(19.6874493, -101.1642989)",,
"LYONS, NY","Lyons, NY 14489, USA","(43.0642305, -76.9902456)",,
"HAMLET, NC","Hamlet, NC 28345, USA","(34.8848775, -79.6942222)",,
"LAKE FOREST, CA","Lake Forest, CA, USA","(33.6469437, -117.6861023)",,
"MANITOWOC, WI","Manitowoc, WI 54220, USA","(44.0886059, -87.657584)",,
"BATON ROUGE, LA","Baton Rouge, LA, USA","(30.4514677, -91.18714659999999)",,
"AUBURN, ME","Auburn, ME 04210, USA","(44.0978509, -70.2311655)",,
"KENNESAW, GA","Kennesaw, GA, USA","(34.0234337, -84.6154897)",,
"CEDAR GROVE, NJ","Cedar Grove, NJ 07009, USA","(40.8517876, -74.2290319)",,
"BUFORD, GA","Buford, GA, USA","(34.1206564, -84.0043513)",,
"ST PAUL, MN","St Paul, MN, USA","(44.9537029, -93.0899578)",,
"MUNCIE, IN","Muncie, IN, USA","(40.1933767, -85.3863599)",,
"PLANO, TX","Plano, TX, USA","(33.0198431, -96.6988856)",,
"MADISON, WI","Madison, WI, USA","(43.0730517, -89.4012302)",,
"PITTSFIELD, NH","Pittsfield, NH, USA","(43.3058983, -71.3242331)",,
"NAPERVILLE, IL","Naperville, IL, USA","(41.7508391, -88.1535352)",,
"HAMMOND, IN","Hammond, IN, USA","(41.5833688, -87.5000412)",,
"PLAINFIELD, IL","Plainfield, IL, USA","(41.632223, -88.2120315)",,
"HIAWATHA, IA","Hiawatha, IA, USA","(42.0491958, -91.6815252)",,
"PLAINWELL, MI","Plainwell, MI 49080, USA","(42.4400357, -85.6489035)",,
"WHITE STONE, SC","White Stone, SC 29302, USA","(34.9029053, -81.8170463)",,
"INWOOD, WV","Inwood, WV, USA","(39.3578781, -78.0399994)",,
"FERNDALE, MI","Ferndale, MI 48220, USA","(42.4605917, -83.1346478)",,
"OAK PARK, MI","Oak Park, MI 48237, USA","(42.4594803, -83.18270509999999)",,
"CARROLL, NH","Carroll, NH, USA","(44.297676, -71.5427968)",,
"SPARTA, MO","Sparta, MO 65753, USA","(37.0011646, -93.0815678)",,
"POUGHKEEPSIE, NY","Poughkeepsie, NY, USA","(41.7003713, -73.9209701)",,
"MCCOOK, IL","McCook, IL, USA","(41.7949035, -87.837125)",,
"SHIPPENSBURG, PA","Shippensburg, PA 17257, USA","(40.0506453, -77.5202647)",,
"MINSTER, OH","Minster, OH 45865, USA","(40.3931033, -84.3760612)",,
"CATSKILL, NY","Catskill, NY, USA","(42.21460709999999, -73.95949399999999)",,
"LE ROY, NY","Le Roy, NY 14482, USA","(42.9783944, -77.9841776)",,
"CEDAR FALLS, IA","Cedar Falls, IA, USA","(42.5348993, -92.4453161)",,
"BROADWAY, VA","Broadway, VA 22815, USA","(38.6131746, -78.79891239999999)",,
"BUCHANAN, GA","Buchanan, GA, USA","(33.8021734, -85.1900624)",,
"HASLET, TX","Haslet, TX, USA","(32.9748469, -97.34779569999999)",,
"TERRE HAUTE, IN","Terre Haute, IN, USA","(39.4667034, -87.41390919999999)",,
"MAYVILLE, WI","Mayville, WI 53050, USA","(43.4941611, -88.5448237)",,
"MORGANTON, NC","Morganton, NC 28655, USA","(35.7454071, -81.6848188)",,
"BRATTLEBORO, VT","Brattleboro, VT 05301, USA","(42.8509152, -72.5578678)",,
"ROCK CITY, IL","Rock City, IL 61070, USA","(42.4133485, -89.468171)",,
"HOUSTON, MN","Houston, MN 55943, USA","(43.7632995, -91.5684764)",,
"GARNER, NC","Garner, NC, USA","(35.7112642, -78.61417089999999)",,
"ARKANSAS CITY, AR","Arkansas City, AR 71630, USA","(33.6087222, -91.2067794)",,
"DECATUR, IL","Decatur, IL, USA","(39.8403147, -88.9548001)",,
"NORTHLAKE, TX","Northlake, TX, USA","(33.1008248, -97.25403279999999)",,
"ST CROIX FALLS, WI","St Croix Falls, WI 54024, USA","(45.4099615, -92.63965089999999)",,
"WAUCHULA, FL","Wauchula, FL 33873, USA","(27.5472589, -81.8114715)",,
"SUCCASUNNA, NJ","Succasunna, Roxbury Township, NJ, USA","(40.8614417, -74.6470318)",,
"AMARILLO, TX","Amarillo, TX, USA","(35.2219971, -101.8312969)",,
"HOLLIS, ME","Hollis, ME, USA","(43.6346754, -70.62089739999999)",,
"BOONEVILLE, MS","Booneville, MS 38829, USA","(34.6581596, -88.5667036)",,
"ROSEVILLE, MI","Roseville, MI 48066, USA","(42.4972583, -82.9371409)",,
"KENTWOOD, MI","Kentwood, MI, USA","(42.8694731, -85.64474919999999)",,
"SCAPPOOSE, OR","Scappoose, OR 97056, USA","(45.757732, -122.878086)",,
"REDWOOD FALLS, MN","Redwood Falls, MN 56283, USA","(44.5394039, -95.1169424)",,
"RAMOS ARIZPE, CO","387, Calle Blvd. Jaime Benavides Pompa 47O_C LOCALES COMERCIALES, La Hacienda, 25900 Ramos Arizpe, Coah., Mexico","(25.5396174, -100.9418656)",,
"NICHOLS, WI","Nichols, WI, USA","(44.563042, -88.4634342)",,
"MOUNT PLEASANT, SC","Mt Pleasant, SC, USA","(32.8323225, -79.82842579999999)",,
"FLORENCE, IN","Florence, IN, USA","(38.7843503, -84.9245854)",,
"FRANKFORT, NY","Frankfort, NY 13340, USA","(43.038959, -75.070436)",,
"ALFALFA, TX","Alfalfa, El Paso, TX 79915, USA","(31.7553872, -106.3816511)",,
"RICHMOND, PQ","Richmond, QC, Canada","(45.665822, -72.147921)",,
"ORLAND PARK, IL","Orland Park, IL, USA","(41.6303103, -87.85394250000002)",,
"BUFFALO, WY","Buffalo, WY 82834, USA","(44.3483072, -106.6989375)",,
"LAYTON, UT","Layton, UT, USA","(41.0602216, -111.9710529)",,
"BELVIDERE, IL","Belvidere, IL 61008, USA","(42.2639098, -88.84426739999999)",,
"CHESTER, PA","Chester, PA, USA","(39.849557, -75.3557457)",,
"PHILADELPHIA, MS","Philadelphia, MS 39350, USA","(32.7715227, -89.1167275)",,
"KILLEN, AL","Killen, AL 35645, USA","(34.8628637, -87.5375253)",,
"WEST BABYLON, NY","West Babylon, NY, USA","(40.718155, -73.354287)",,
"ROGERSVILLE, TN","Rogersville, TN 37857, USA","(36.407317, -83.0054423)",,
"GLEN COVE, NY","Glen Cove, NY, USA","(40.8623217, -73.6337389)",,
"HOLTSVILLE, NY","Holtsville, NY, USA","(40.8153762, -73.0451085)",,
"PORT RICHEY, FL","Port Richey, FL, USA","(28.2716755, -82.71954509999999)",,
"QUINCY, FL","Quincy, FL, USA","(30.5880468, -84.59105799999999)",,
"ROCK RAPIDS, IA","Rock Rapids, IA 51246, USA","(43.4271945, -96.17585980000001)",,
"MULBERRY, FL","Mulberry, FL, USA","(27.8953038, -81.9734172)",,
"BELTON, SC","Belton, SC 29627, USA","(34.5228881, -82.49429479999999)",,
"RURAL HALL, NC","Rural Hall, NC, USA","(36.2404158, -80.2933838)",,
"FRANKLIN, KY","Franklin, KY 42134, USA","(36.722263, -86.57721769999999)",,
"FRANKFORT, IN","Frankfort, IN 46041, USA","(40.2794809, -86.5108355)",,
"KENDALLVILLE, IN","Kendallville, IN 46755, USA","(41.4414384, -85.2649754)",,
"PERTH AMBOY, NJ","Perth Amboy, NJ, USA","(40.5067723, -74.2654234)",,
"ALBERTVILLE, AL","Albertville, AL, USA","(34.2675937, -86.20886689999999)",,
"ANNA, OH","Anna, OH 45302, USA","(40.3944932, -84.1727231)",,
"ILION, NY","Ilion, NY 13357, USA","(43.0150703, -75.0354347)",,
"ANN ARBOR, MI","Ann Arbor, MI, USA","(42.2808256, -83.7430378)",,
"LITCHFIELD, NH","Litchfield, NH 03052, USA","(42.84425359999999, -71.4797889)",,
"MT VERNON, IN","Mt Vernon, IN 47620, USA","(37.9322662, -87.8950267)",,
"CHESAPEAKE, VA","Chesapeake, VA, USA","(36.7682088, -76.2874927)",,
"HAZELTON, PA","Hazleton, PA, USA","(40.9584181, -75.97464719999999)",,
"WEBSTER, NY","Webster, NY 14580, USA","(43.2122851, -77.4299939)",,
"HOLLAND, MI","Holland, MI 49423, USA","(42.7875235, -86.1089301)",,
"WINDSOR LOCKS, CT","Windsor Locks, CT, USA","(41.9242917, -72.6454469)",,
"HALETHORPE, MD","Halethorpe, MD 21227, USA","(39.2401735, -76.6806441)",,
"CHAMBLY, QC","Chambly, QC, Canada","(45.4391627, -73.2902464)",,
"GREENCASTLE, IN","Greencastle, IN 46135, USA","(39.6444898, -86.8647316)",,
"LEBANON, IN","Lebanon, IN 46052, USA","(40.0483744, -86.4691677)",,
"SUMMERVILLE, SC","Summerville, SC, USA","(33.0185039, -80.17564809999999)",,
"SUTHERLAND, VA","Sutherland, VA 23885, USA","(37.1959837, -77.5597107)",,
"GREENFIELD, MA","Greenfield, MA 01301, USA","(42.587915, -72.5994104)",,
"HINGHAM, MA","Hingham, MA, USA","(42.2418172, -70.889759)",,
"MADISONVILLE, TX","Madisonville, TX 77864, USA","(30.9499111, -95.9116188)",,
"MORRISTOWN, TN","Morristown, TN, USA","(36.2139814, -83.29489219999999)",,
"EAST WEYMOUTH, MA","Weymouth, MA, USA","(42.2180724, -70.94103559999999)",,
"MOUNT CRAWFORD, VA","Mt Crawford, VA 22841, USA","(38.3570713, -78.9408615)",,
"BROOKHAVEN, MS","Brookhaven, MS 39601, USA","(31.5790588, -90.4406506)",,
"BRIDGEPORT, PA","Bridgeport, PA, USA","(40.1051084, -75.3451838)",,
"INLET, NY","Inlet, NY 13360, USA","(43.7545099, -74.79294879999999)",,
"BURLINGTON, IA","Burlington, IA, USA","(40.8076529, -91.1128901)",,
"SILVER GROVE, KY","Silver Grove, KY, USA","(39.0345062, -84.3902174)",,
"WINCHESTER, TN","Winchester, TN 37398, USA","(35.1859163, -86.11220709999999)",,
"BOW, NH","Bow, NH 03304, USA","(43.1320263, -71.54923769999999)",,
"BENNINGTON, NH","Bennington, NH 03442, USA","(43.003137, -71.92452399999999)",,
"MERIDEN, CT","Meriden, CT, USA","(41.5381535, -72.80704349999999)",,
"CUDAHY, WI","Cudahy, WI 53110, USA","(42.959738, -87.861471)",,
"BOYNE FALLS, MI","Boyne Falls, MI 49713, USA","(45.168065, -84.9161574)",,
"HODGKINS, IL","Hodgkins, IL, USA","(41.7689207, -87.857835)",,
"YANKTON, SD","Yankton, SD 57078, USA","(42.87110879999999, -97.39728129999999)",,
"SEYMOUR, IN","Seymour, IN 47274, USA","(38.9592201, -85.8902547)",,
"METHUEN, MA","Methuen, MA 01844, USA","(42.7262016, -71.1908924)",,
"TOTOWA, NJ","Totowa, NJ, USA","(40.9050988, -74.20986789999999)",,
"ECATEPEC DE MORELOS, EM","Calle Aguila, esquina Cuahutémoc, Cd Cuauhtemoc, 55067 Ecatepec de Morelos, Méx., Mexico","(19.6477366, -98.9905694)",,
"NEWARK, MD","Newark, MD, USA","(38.2506724, -75.2910256)",,
"CORSICANA, TX","Corsicana, TX, USA","(32.0954304, -96.46887269999999)",,
"HOGANSVILLE, GA","Hogansville, GA 30230, USA","(33.1730399, -84.91478359999999)",,
"CORSICA, SD","Corsica, SD 57328, USA","(43.4252676, -98.4073023)",,
"TUALATIN, OR","Tualatin, OR, USA","(45.3779988, -122.7821817)",,
"CITY LIMITS, UT","201 E 21st St, Austin, TX 78712, USA","(30.2828076, -97.7367752)",,
"ST JEAN SUR RICHELIEU, QC","Saint-Jean-sur-Richelieu, QC, Canada","(45.305771, -73.2544903)",,
"UNION YARD, MN","301 Hardman Ave N, South St Paul, MN 55075, USA","(44.897929, -93.03678529999999)",,
"DRUMHELLER, AB","Drumheller, AB, Canada","(51.4619484, -112.7107576)",,
"DUPONT, WA","DuPont, WA 98327, USA","(47.10032229999999, -122.6447891)",,
"BROWNSVILLE, TX","Brownsville, TX, USA","(25.9017472, -97.4974838)",,
"NEW HARTFORD, NY","New Hartford, NY, USA","(43.073403, -75.2876661)",,
"ONTARIO, OR","Ontario, OR 97914, USA","(44.0265525, -116.9629378)",,
"CALEXICO, CA","Calexico, CA, USA","(32.6789476, -115.4988834)",,
"CLARKSDALE, MS","Clarksdale, MS, USA","(34.2001086, -90.5709323)",,
"COMMERCE CITY, CO","Commerce City, CO, USA","(39.8083196, -104.9338675)",,
"SAINT-HYACINTHE, QC","Saint-Hyacinthe, QC, Canada","(45.6306875, -72.956339)",,
"SOUTH WINDSOR, CT","South Windsor, CT, USA","(41.8489872, -72.57175509999999)",,
"NORTH LITTLE ROCK, AR","North Little Rock, AR, USA","(34.769536, -92.2670941)",,
"CROSSVILLE, TN","Crossville, TN, USA","(35.9489566, -85.0269014)",,
"CHARLES CITY, IA","Charles City, IA 50616, USA","(43.0663612, -92.6724112)",,
"ATLANTIC BEACH, FL","Atlantic Beach, FL, USA","(30.3344077, -81.398696)",,
"NEWARK, DE","Newark, DE, USA","(39.6837226, -75.74965720000002)",,
"CIRCLEVILLE, OH","Circleville, OH 43113, USA","(39.600618, -82.9460133)",,
"MOUNT WOLF, PA","Mt Wolf, PA, USA","(40.0631514, -76.703856)",,
"ST-AUGUSTIN-DE-DESMAURES, QC","Saint-Augustin-de-Desmaures, QC G3A 2E3, Canada","(46.747041, -71.459344)",,
"TEA, SD","Tea, SD 57064, USA","(43.44636680000001, -96.83588470000001)",,
"ENDERLIN, ND","Enderlin, ND 58027, USA","(46.623028, -97.60148620000001)",,
"OTTAWA, OH","Ottawa, OH 45875, USA","(41.0192185, -84.0471666)",,
"BERKELEY, IL","Berkeley, IL, USA","(41.8889194, -87.9033956)",,
"TOWANDA, PA","Towanda, PA 18848, USA","(41.767575, -76.4427188)",,
"EAST BRUNSWICK, NJ","East Brunswick, NJ, USA","(40.4316955, -74.4049778)",,
"DESMET, SD","De Smet, SD 57231, USA","(44.3874696, -97.55035409999999)",,
"OTTOSEN, IA","Ottosen, IA 50570, USA","(42.8949702, -94.3799697)",,
"JACKSON, MS","Jackson, MS, USA","(32.2987573, -90.1848103)",,
"SUFFOLK, VA","Suffolk, VA, USA","(36.7282054, -76.5835621)",,
"MOONACHIE, NJ","Moonachie, NJ, USA","(40.8412111, -74.0451405)",,
"GROVETOWN, GA","Grovetown, GA 30813, USA","(33.4504157, -82.1981764)",,
"MIDLAND, MI","Midland, MI, USA","(43.6155825, -84.2472116)",,
"HUNTSVILLE, TX","Huntsville, TX, USA","(30.7235263, -95.55077709999999)",,
"EAST PROVIDENCE, RI","East Providence, RI, USA","(41.8137116, -71.3700545)",,
"PHILADELPHIA, NY","Philadelphia, NY 13673, USA","(44.15450449999999, -75.70882379999999)",,
"LORAIN, OH","Lorain, OH, USA","(41.452819, -82.1823746)",,
"HENRICO, VA","Henrico County, VA, USA","(37.5059332, -77.3324425)",,
"ALBANY, GA","Albany, GA, USA","(31.5785074, -84.15574099999999)",,
"RUGBY, ND","Rugby, ND 58368, USA","(48.3688876, -99.9962463)",,
"GRIDLEY, IL","Gridley, IL 61744, USA","(40.7433682, -88.88145779999999)",,
"MORAINE, OH","Moraine, OH, USA","(39.7061702, -84.2193849)",,
"SCHOOLCRAFT, MI","Schoolcraft, MI 49087, USA","(42.11421070000001, -85.63777759999999)",,
"MOLINO, VL","Molino, FL 32577, USA","(30.7240791, -87.31414219999999)",,
"MECHANICSVILLE, VA","Mechanicsville, VA, USA","(37.6087561, -77.3733139)",,
"BRADFORD, PA","Bradford, PA 16701, USA","(41.9564953, -78.649163)",,
"OWEN, WI","Owen, WI, USA","(44.9485796, -90.56430189999999)",,
"OWOSSO, MI","Owosso, MI 48867, USA","(42.9978049, -84.1766358)",,
"GURNEE, IL","Gurnee, IL, USA","(42.3702996, -87.90201859999999)",,
"MARCELINE, MO","Marceline, MO 64658, USA","(39.7119703, -92.94825259999999)",,
"BACKUS, MN","Backus, MN 56435, USA","(46.8202373, -94.5163876)",,
"LAKE PANASOFFKEE, FL","Lake Panasoffkee, FL 33538, USA","(28.7876707, -82.13328179999999)",,
"JEANNETTE, PA","Jeannette, PA, USA","(40.3281246, -79.6153198)",,
"DIXON, IL","Dixon, IL 61021, USA","(41.8389213, -89.47954779999999)",,
